name,latency,throughput(cpi)
vneg_b,1.00,4.00
vneg_d,1.00,4.00
vneg_h,1.00,4.00
vneg_w,1.00,4.00
vnor_v,1.00,4.00
vnori_b,0.25/1.00,4.00
vor_v,1.00,4.00
vori_b,0.25/1.00,4.00
vorn_v,1.00,4.00
vpackev_b,1.00,4.00
vpackev_d,1.00,4.00
vpackev_h,1.00,4.00
vpackev_w,1.00,3.99
vpackod_b,1.00,4.00
vpackod_d,1.00,4.00
vpackod_h,1.00,4.00
vpackod_w,1.00,4.00
vpcnt_b,2.00,2.00
vpcnt_d,2.00,2.00
vpcnt_h,2.00,2.00
vpcnt_w,2.00,2.00
vpermi_w,1.00,1.00
vpickev_b,1.00,4.00
vpickev_d,1.00,4.00
vpickev_h,1.00,4.00
vpickev_w,1.00,4.00
vpickod_b,1.00,4.00
vpickod_d,1.00,4.00
vpickod_h,1.00,4.00
vpickod_w,1.00,4.00
vpickve2gr_b,1.00,1.00
vpickve2gr_bu,1.00,1.00
vpickve2gr_d,1.00,1.00
vpickve2gr_du,1.00,1.00
vpickve2gr_h,1.00,1.00
vpickve2gr_hu,1.00,1.00
vpickve2gr_w,1.00,1.00
vpickve2gr_wu,1.00,1.00
vreplgr2vr_b,1.00,1.00
vreplgr2vr_d,1.00,1.00
vreplgr2vr_h,1.00,1.00
vreplgr2vr_w,1.00,1.00
vrepli_b,0.17,5.97
vrepli_d,0.25,4.00
vrepli_h,0.25,4.00
vrepli_w,0.25,4.00
vreplve_b,1.00,1.00
vreplve_d,1.00,1.00
vreplve_h,1.00,1.00
vreplve_w,1.00,1.00
vreplvei_b,0.25/1.00,4.00
vreplvei_d,0.25/1.00,4.00
vreplvei_h,0.25/1.00,4.00
vreplvei_w,0.25/1.00,4.00
vrotr_b,1.00,4.00
vrotr_d,1.00,4.00
vrotr_h,1.00,4.00
vrotr_w,1.00,4.00
vrotri_b,0.25/1.00,4.00
vrotri_d,0.25/1.00,4.00
vrotri_h,0.25/1.00,4.00
vrotri_w,0.25/1.00,4.00
vsadd_b,1.00,4.00
vsadd_bu,1.00,4.00
vsadd_d,1.00,4.00
vsadd_du,1.00,4.00
vsadd_h,1.00,4.00
vsadd_hu,1.00,4.00
vsadd_w,1.00,4.00
vsadd_wu,1.00,4.00
vsat_b,0.50/2.00,2.00
vsat_bu,0.50/2.00,2.00
vsat_d,0.50/2.00,2.00
vsat_du,0.50/2.00,2.00
vsat_h,0.50/2.00,2.00
vsat_hu,0.50/2.00,2.00
vsat_w,0.50/2.00,1.99
vsat_wu,0.50/2.00,2.00
vseq_b,1.00,3.96
vseq_d,1.00,3.96
vseq_h,1.00,3.96
vseq_w,1.00,3.95
vseqi_b,0.25/1.00,4.00
vseqi_d,0.25/1.00,4.00
vseqi_h,0.25/1.00,4.00
vseqi_w,0.25/1.00,4.00
vsetallnez_b,0.50,2.00
vsetallnez_d,0.50,2.00
vsetallnez_h,0.50,2.00
vsetallnez_w,0.50,2.00
vsetanyeqz_b,0.50,2.00
vsetanyeqz_d,0.50,2.00
vsetanyeqz_h,0.50,2.00
vsetanyeqz_w,0.50,2.00
vseteqz_v,0.50,2.00
vsetnez_v,0.50,2.00
vshuf4i_b,0.25/1.00,4.00
vshuf4i_d,1.00,1.00
vshuf4i_h,0.25/1.00,4.00
vshuf4i_w,0.25/1.00,4.00
vshuf_b,1.00/1.01,2.00
vshuf_d,1.00,0.25
vshuf_h,1.00,0.25
vshuf_w,1.00,0.25
vsigncov_b,1.00,2.00
vsigncov_d,1.00,2.00
vsigncov_h,1.00,2.00
vsigncov_w,1.00,2.00
vsle_b,1.00,3.95
vsle_bu,1.00,3.85
vsle_d,2.00,3.96
vsle_du,2.00,3.81
vsle_h,1.00,3.95
vsle_hu,1.00,3.96
vsle_w,1.00,3.95
vsle_wu,1.00,3.96
vslei_b,0.25/1.00,4.00
vslei_bu,0.25/1.00,4.00
vslei_d,0.25/2.00,3.99
vslei_du,0.25/2.00,4.00
vslei_h,0.25/1.00,4.00
vslei_hu,0.25/1.00,4.00
vslei_w,0.25/1.00,3.99
vslei_wu,0.25/1.00,4.00
vsll_b,1.00,3.96
vsll_d,1.00,3.96
vsll_h,1.00,3.96
vsll_w,1.00,3.96
vslli_b,0.25/1.00,4.00
vslli_d,0.25/1.00,4.00
vslli_h,0.25/1.00,4.00
vslli_w,0.25/1.00,4.00
vsllwil_d_w,0.50/2.00,2.00
vsllwil_du_wu,0.50/2.00,2.00
vsllwil_h_b,0.50/2.00,2.00
vsllwil_hu_bu,0.50/2.00,2.00
vsllwil_w_h,0.50/2.00,2.00
vsllwil_wu_hu,0.50/2.00,2.00
vslt_b,1.00,3.99
vslt_bu,1.00,4.00
vslt_d,2.00,4.00
vslt_du,2.00,4.00
vslt_h,1.00,4.00
vslt_hu,1.00,4.00
vslt_w,1.00,4.00
vslt_wu,1.00,4.00
vslti_b,0.25/1.00,4.00
vslti_bu,0.25/1.00,4.00
vslti_d,0.25/2.00,4.00
vslti_du,0.25/2.00,4.00
vslti_h,0.25/1.00,4.00
vslti_hu,0.25/1.00,4.00
vslti_w,0.25/1.00,4.00
vslti_wu,0.25/1.00,4.00
vsra_b,1.00,3.96
vsra_d,1.00,3.99
vsra_h,1.00,3.96
vsra_w,1.00,4.00
vsrai_b,0.25/1.00,4.00
vsrai_d,0.25/1.00,4.00
vsrai_h,0.25/1.00,4.00
vsrai_w,0.25/1.00,4.00
vsran_b_h,2.00,2.00
vsran_h_w,2.00,2.00
vsran_w_d,2.00,2.00
vsrani_b_h,4.00,0.25
vsrani_d_q,3.00,0.33
vsrani_h_w,4.00,0.25
vsrani_w_d,4.00,0.25
vsrar_b,3.00,2.00
vsrar_d,3.00,2.00
vsrar_h,3.00,2.00
vsrar_w,3.00,2.00
vsrari_b,0.50/3.00,2.00
vsrari_d,0.50/3.00,2.00
vsrari_h,0.50/3.00,2.00
vsrari_w,0.50/3.00,2.00
vsrarn_b_h,4.00,2.00
vsrarn_h_w,4.00,2.00
vsrarn_w_d,4.00,2.00
vsrarni_b_h,4.00,0.25
vsrarni_d_q,3.00,0.33
vsrarni_h_w,4.00,0.25
vsrarni_w_d,4.00,0.25
vsrl_b,1.00,3.96
vsrl_d,1.00,3.95
vsrl_h,1.00,3.96
vsrl_w,1.00,3.96
vsrli_b,0.25/1.00,4.00
vsrli_d,0.25/1.00,4.00
vsrli_h,0.25/1.00,4.00
vsrli_w,0.25/1.00,4.00
vsrln_b_h,2.00,2.00
vsrln_h_w,2.00,2.00
vsrln_w_d,2.00,2.00
vsrlni_b_h,4.00,0.25
vsrlni_d_q,3.00,0.33
vsrlni_h_w,4.00,0.25
vsrlni_w_d,4.00,0.25
vsrlr_b,3.00,2.00
vsrlr_d,3.00,2.00
vsrlr_h,3.00,2.00
vsrlr_w,3.00,2.00
vsrlri_b,0.50/3.00,2.00
vsrlri_d,0.50/3.00,2.00
vsrlri_h,0.50/3.00,2.00
vsrlri_w,0.50/3.00,2.00
vsrlrn_b_h,4.00,2.00
vsrlrn_h_w,4.00,2.00
vsrlrn_w_d,4.00,2.00
vsrlrni_b_h,4.00,0.25
vsrlrni_d_q,3.00,0.33
vsrlrni_h_w,4.00,0.25
vsrlrni_w_d,4.00,0.25
vssran_b_h,4.00,2.00
vssran_bu_h,4.00,2.00
vssran_h_w,4.00,2.00
vssran_hu_w,4.00,2.00
vssran_w_d,4.00,2.00
vssran_wu_d,4.00,2.00
vssrani_b_h,4.00,0.25
vssrani_bu_h,4.00,0.25
vssrani_d_q,3.00,0.33
vssrani_du_q,3.00,0.33
vssrani_h_w,4.00,0.25
vssrani_hu_w,4.00,0.25
vssrani_w_d,4.00,0.25
vssrani_wu_d,4.00,0.25
vssrarn_b_h,4.00,2.00
vssrarn_bu_h,4.00,2.00
vssrarn_h_w,4.00,2.00
vssrarn_hu_w,4.00,2.00
vssrarn_w_d,4.00,2.00
vssrarn_wu_d,4.00,2.00
vssrarni_b_h,4.00,0.25
vssrarni_bu_h,4.00,0.25
vssrarni_d_q,3.00,0.33
vssrarni_du_q,3.00,0.33
vssrarni_h_w,4.00,0.25
vssrarni_hu_w,4.00,0.25
vssrarni_w_d,4.00,0.25
vssrarni_wu_d,4.00,0.25
vssrln_b_h,4.00,2.00
vssrln_bu_h,4.00,2.00
vssrln_h_w,4.00,2.00
vssrln_hu_w,4.00,2.00
vssrln_w_d,4.00,2.00
vssrln_wu_d,4.00,2.00
vssrlni_b_h,4.00,0.25
vssrlni_bu_h,4.00,0.25
vssrlni_d_q,3.00,0.33
vssrlni_du_q,3.00,0.33
vssrlni_h_w,4.00,0.25
vssrlni_hu_w,4.00,0.25
vssrlni_w_d,4.00,0.25
vssrlni_wu_d,4.00,0.25
vssrlrn_b_h,4.00,2.00
vssrlrn_bu_h,4.00,2.00
vssrlrn_h_w,4.00,2.00
vssrlrn_hu_w,4.00,2.00
vssrlrn_w_d,4.00,2.00
vssrlrn_wu_d,4.00,2.00
vssrlrni_b_h,4.00,0.25
vssrlrni_bu_h,4.00,0.25
vssrlrni_d_q,3.00,0.33
