name,latency,throughput(ipc),throughput(cpi)
vssrani_du_q,3.00,2.00,0.50
vssrani_h_w,4.00,2.00,0.50
vssrani_hu_w,4.00,2.00,0.50
vssrani_w_d,4.00,2.00,0.50
vssrani_wu_d,4.00,2.00,0.50
vssrarn_b_h,4.00,2.00,0.50
vssrarn_bu_h,4.00,2.00,0.50
vssrarn_h_w,4.00,2.00,0.50
vssrarn_hu_w,4.00,2.00,0.50
vssrarn_w_d,4.00,2.00,0.50
vssrarn_wu_d,4.00,2.00,0.50
vssrarni_b_h,4.00,2.00,0.50
vssrarni_bu_h,4.00,2.00,0.50
vssrarni_d_q,3.00,2.00,0.50
vssrarni_du_q,3.00,2.00,0.50
vssrarni_h_w,4.00,2.00,0.50
vssrarni_hu_w,4.00,2.00,0.50
vssrarni_w_d,4.00,2.00,0.50
vssrarni_wu_d,4.00,2.00,0.50
vssrln_b_h,4.00,2.00,0.50
vssrln_bu_h,4.00,2.00,0.50
vssrln_h_w,4.00,2.00,0.50
vssrln_hu_w,4.00,2.00,0.50
vssrln_w_d,4.00,2.00,0.50
vssrln_wu_d,4.00,2.00,0.50
vssrlni_b_h,4.00,2.00,0.50
vssrlni_bu_h,4.00,2.00,0.50
vssrlni_d_q,3.00,2.00,0.50
vssrlni_du_q,3.00,2.00,0.50
vssrlni_h_w,4.00,2.00,0.50
vssrlni_hu_w,4.00,2.00,0.50
vssrlni_w_d,4.00,2.00,0.50
vssrlni_wu_d,4.00,2.00,0.50
vssrlrn_b_h,4.00,2.00,0.50
vssrlrn_bu_h,4.00,2.00,0.50
vssrlrn_h_w,4.00,2.00,0.50
vssrlrn_hu_w,4.00,2.00,0.50
vssrlrn_w_d,4.00,2.00,0.50
