name,latency,throughput(ipc),throughput(cpi)
vsrl_d,1.00,1.00,1.00
vsrl_h,1.00,1.00,1.00
vsrl_w,1.00,1.00,1.00
vsrli_b,1.00,1.00,1.00
vsrli_d,1.00,1.00,1.00
vsrli_h,1.00,1.00,1.00
vsrli_w,1.00,1.00,1.00
vsrln_b_h,2.00,0.50,2.00
vsrln_h_w,2.00,0.50,2.00
vsrln_w_d,2.00,0.50,2.00
vsrlni_b_h,3.00,0.50,2.00
vsrlni_d_q,2.00,1.00,1.00
vsrlni_h_w,3.00,0.50,2.00
vsrlni_w_d,3.00,0.50,2.00
vsrlr_b,2.00,1.00,1.00
vsrlr_d,2.00,1.00,1.00
vsrlr_h,2.00,1.00,1.00
vsrlr_w,2.00,1.00,1.00
vsrlri_b,2.00,1.00,1.00
vsrlri_d,2.00,1.00,1.00
vsrlri_h,2.00,1.00,1.00
vsrlri_w,2.00,1.00,1.00
vsrlrn_b_h,3.00,0.50,2.00
vsrlrn_h_w,3.00,0.50,2.00
vsrlrn_w_d,3.00,0.50,2.00
vsrlrni_b_h,3.00,0.50,2.00
vsrlrni_d_q,2.00,1.00,1.00
vsrlrni_h_w,3.00,0.50,2.00
vsrlrni_w_d,3.00,0.50,2.00
vssran_b_h,3.00,0.50,2.00
vssran_bu_h,3.00,0.50,2.00
vssran_h_w,3.00,0.50,2.00
vssran_hu_w,3.00,0.50,2.00
vssran_w_d,3.00,0.50,2.00
vssran_wu_d,3.00,0.50,2.00
vssrani_b_h,3.00,0.50,2.00
vssrani_bu_h,3.00,0.50,2.00
vssrani_d_q,2.00,1.00,1.00
vssrani_du_q,2.00,1.00,1.00
vssrani_h_w,3.00,0.50,2.00
vssrani_hu_w,3.00,0.50,2.00
vssrani_w_d,3.00,0.50,2.00
vssrani_wu_d,3.00,0.50,2.00
vssrarn_b_h,3.00,0.50,2.00
vssrarn_bu_h,3.00,0.50,2.00
vssrarn_h_w,3.00,0.50,2.00
vssrarn_hu_w,3.00,0.50,2.00
vssrarn_w_d,3.00,0.50,2.00
vssrarn_wu_d,3.00,0.50,2.00
vssrarni_b_h,3.00,0.50,2.00
vssrarni_bu_h,3.00,0.50,2.00
vssrarni_d_q,2.00,1.00,1.00
vssrarni_du_q,2.00,1.00,1.00
vssrarni_h_w,3.00,0.50,2.00
vssrarni_hu_w,3.00,0.50,2.00
vssrarni_w_d,3.00,0.50,2.00
vssrarni_wu_d,3.00,0.50,2.00
vssrln_b_h,3.00,0.50,2.00
vssrln_bu_h,3.00,0.50,2.00
vssrln_h_w,3.00,0.50,2.00
vssrln_hu_w,3.00,0.50,2.00
vssrln_w_d,3.00,0.50,2.00
vssrln_wu_d,3.00,0.50,2.00
vssrlni_b_h,3.00,0.50,2.00
vssrlni_bu_h,3.00,0.50,2.00
vssrlni_d_q,2.00,1.00,1.00
vssrlni_du_q,2.00,1.00,1.00
vssrlni_h_w,3.00,0.50,2.00
vssrlni_hu_w,3.00,0.50,2.00
vssrlni_w_d,3.00,0.50,2.00
vssrlni_wu_d,3.00,0.50,2.00
vssrlrn_b_h,3.00,0.50,2.00
vssrlrn_bu_h,3.00,0.50,2.00
vssrlrn_h_w,3.00,0.50,2.00
vssrlrn_hu_w,3.00,0.50,2.00
vssrlrn_w_d,3.00,0.50,2.00
vssrlrn_wu_d,3.00,0.50,2.00
vssrlrni_b_h,3.00,0.50,2.00
vssrlrni_bu_h,3.00,0.50,2.00
vssrlrni_d_q,2.00,1.00,1.00
vssrlrni_du_q,2.00,1.00,1.00
vssrlrni_h_w,3.00,0.50,2.00
vssrlrni_hu_w,3.00,0.50,2.00
vssrlrni_w_d,3.00,0.50,2.00
vssrlrni_wu_d,3.00,0.50,2.00
vssub_b,1.00,1.00,1.00
